family,global_index,case_key,slice_index,risk_score,source_dice,tent1_dice,delta_dice,state,harmful,beneficial,source_tp,source_fp,source_fn,tent_tp,tent_fp,tent_fn
UNet,0,Case00,0,0.6566204366193157,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,1252,0
UNet,1,Case00,1,0.6644357878610825,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,900,0
UNet,2,Case00,2,0.0330511887360609,0.0,0.0,0.0,NEUTRAL,0,0,0,23,0,0,562,0
UNet,3,Case00,3,0.4143898549965559,0.0,0.0,0.0,NEUTRAL,0,0,0,200,0,0,350,0
UNet,4,Case00,4,0.2058672302909484,0.0,0.0,0.0,NEUTRAL,0,0,0,621,0,0,548,0
UNet,5,Case00,5,0.1927282615976336,0.0,0.0,0.0,NEUTRAL,0,0,0,551,0,0,507,0
UNet,6,Case00,6,0.2913930943088153,0.0,0.0,0.0,NEUTRAL,0,0,0,367,0,0,392,0
UNet,7,Case00,7,0.3698917395094322,0.0,0.0,0.0,NEUTRAL,0,0,0,979,0,0,694,0
UNet,8,Case00,8,0.686748871829266,0.0,0.0,0.0,NEUTRAL,0,0,0,2696,0,0,358,0
UNet,9,Case00,9,0.2158323999215142,0.0,0.0,0.0,NEUTRAL,0,0,0,101,0,0,372,0
UNet,10,Case00,10,0.6862353043020466,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,325,0
UNet,11,Case00,11,0.7071981188708922,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,1276,0
UNet,12,Case00,12,0.7082355076613359,0.0,0.06850235057085292,0.06850235057085292,BENEFIT,0,1,0,0,1850,102,1026,1748
UNet,13,Case00,13,0.1614255237569576,0.0,0.1922365988909427,0.1922365988909427,BENEFIT,0,1,0,151,2711,416,1201,2295
UNet,14,Case00,14,0.1353596538015581,0.32422772529997446,0.036901952370735895,-0.28732577292923855,HARM,1,0,635,0,2647,86,1293,3196
UNet,15,Case00,15,0.2663622792083315,0.6460032626427407,0.027255029201817,-0.6187482334409237,HARM,1,0,2178,0,2387,84,1515,4481
UNet,16,Case00,16,0.4863056059512886,0.7314492192540973,0.08934147997284453,-0.6421077392812529,HARM,1,0,2834,149,1932,329,2270,4437
UNet,17,Case00,17,0.4415927086813859,0.8525620873939013,0.2734234234234234,-0.5791386639704779,HARM,1,0,4068,6,1401,1214,2197,4255
UNet,18,Case00,18,0.3851774788342043,0.9033087605006,0.42882882882882883,-0.4744799316717712,HARM,1,0,5269,8,1120,2499,2767,3890
UNet,19,Case00,19,0.4542296353940234,0.8849190525560252,0.4659823346860826,-0.41893671786994263,HARM,1,0,5548,27,1416,2928,2675,4036
UNet,20,Case00,20,0.3924925098693633,0.9352218287856696,0.5765313441400086,-0.358690484645661,HARM,1,0,6735,41,892,4019,2296,3608
UNet,21,Case00,21,0.3630231005864874,0.9283576132508481,0.5959221501390176,-0.3324354631118305,HARM,1,0,6978,52,1025,4501,2602,3502
UNet,22,Case00,22,0.3816968744568281,0.953154754348102,0.6787198944242824,-0.27443485992381966,HARM,1,0,7508,65,673,5143,1831,3038
UNet,23,Case00,23,0.4350494924424867,0.9359083469721767,0.7463670411985018,-0.1895413057736749,HARM,1,0,7148,56,923,4982,297,3089
UNet,24,Case00,24,0.6593333805819183,0.9174323473882945,0.7890392422192152,-0.1283931051690793,HARM,1,0,7289,62,1250,5831,410,2708
UNet,25,Case00,25,0.4875713979805449,0.9217910447761194,0.8781997187060478,-0.043591326070071545,HARM,1,0,6948,256,923,6244,105,1627
UNet,26,Case00,26,0.6709532201684232,0.9249453797712376,0.8767218589119243,-0.04822352085931325,HARM,1,0,7197,292,876,6301,0,1772
UNet,27,Case00,27,0.8732509491711783,0.816193927277271,0.5409484353036916,-0.2752454919735794,HARM,1,0,6532,1551,1391,3656,1938,4267
UNet,28,Case00,28,0.927553677067201,0.8729774095208317,0.7243210128650194,-0.14865639665581232,HARM,1,0,5584,983,642,3547,21,2679
UNet,29,Case00,29,0.7047859573509505,0.8910520404342943,0.7637662883564523,-0.12728575207784198,HARM,1,0,4760,60,1104,3634,18,2230
UNet,30,Case00,30,0.9422545401301404,0.7211950276820224,0.49216019175072406,-0.2290348359312983,HARM,1,0,3452,1001,1668,2464,2429,2656
UNet,31,Case00,31,0.9187066590706876,0.5868249534450651,0.32896565415922174,-0.2578592992858434,HARM,1,0,2521,2029,1521,1657,4375,2385
UNet,32,Case00,32,0.7874419501502636,0.35318704284221525,0.3452901720618256,-0.007896870780389642,NEUTRAL,0,0,676,636,1840,1184,3158,1332
UNet,33,Case00,33,0.8974864938151178,0.5380764163372859,0.4568358651352353,-0.08124055120205059,HARM,1,0,1021,1154,599,1233,2545,387
UNet,34,Case00,34,0.6520979940749477,0.22918645140867364,0.48145921026257765,0.252272758853904,BENEFIT,0,1,362,1330,1105,1201,2321,266
UNet,35,Case00,35,0.8958296135383148,0.36876190476190474,0.7058029689608637,0.33704106419895896,BENEFIT,0,1,484,1574,83,523,392,44
UNet,36,Case00,36,0.9108450752917092,0.0333064732742412,0.22795698924731184,0.19465051597307065,BENEFIT,0,1,62,3524,75,106,687,31
UNet,37,Case00,37,0.944404213467826,0.0,0.0,0.0,NEUTRAL,0,0,0,9956,0,0,1058,0
UNet,38,Case00,38,0.9551683717108488,0.0,0.0,0.0,NEUTRAL,0,0,0,11706,0,0,2887,0
UNet,39,Case00,39,0.959692873300732,0.0,0.0,0.0,NEUTRAL,0,0,0,11602,0,0,2402,0
UNet,40,Case00,40,0.9883959004318068,0.0,0.0,0.0,NEUTRAL,0,0,0,11680,0,0,2538,0
UNet,41,Case00,41,0.9479637948435684,0.0,0.0,0.0,NEUTRAL,0,0,0,9857,0,0,2184,0
UNet,42,Case00,42,0.8874924082039786,0.0,0.0,0.0,NEUTRAL,0,0,0,7276,0,0,3324,0
UNet,43,Case00,43,0.7279776161539495,0.0,0.0,0.0,NEUTRAL,0,0,0,5226,0,0,1602,0
UNet,44,Case00,44,0.7001709012736979,0.0,0.0,0.0,NEUTRAL,0,0,0,3705,0,0,3466,0
UNet,45,Case00,45,0.6760381306126446,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,5042,0
UNet,46,Case00,46,0.6461651089414705,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,2270,0
UNet,47,Case01,0,0.6787069318454017,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,450,0
UNet,48,Case01,1,0.2554396234975591,0.0,0.0,0.0,NEUTRAL,0,0,0,326,0,0,633,0
UNet,49,Case01,2,0.1517652488005831,0.0,0.0,0.0,NEUTRAL,0,0,0,297,0,0,2012,0
